fold,model_type,rule_name,weight
9,SEM-Based,mental_health_history,0.15779194129855711
9,SEM-Based,Psychological_Score,1.1171001712435897
9,SEM-Based,Physical_Score,0.020556156654423452
9,SEM-Based,Environmental_Score,1.6098587122983856
9,SEM-Based,Academic_Score,1.8382864311535756
9,SEM-Based,Social_Score,1.6676107949501424
9,Heuristic,General_Adversity,2.0996268917651237
9,Heuristic,mental_health_history,0.03852428147801401
9,Heuristic,Psychological_Score,2.3492686544141153
9,Heuristic,Physical_Score,0.20357242789526175
9,Heuristic,Environmental_Score,0.22615106224822235
9,Heuristic,Academic_Score,0.45743635079785117
9,Heuristic,Social_Score,1.7786131252038293
10,SEM-Based,General_Adversity,1.6739323982277967
10,SEM-Based,mental_health_history,0.03486598669685215
10,SEM-Based,Psychological_Score,1.1022236767667657
10,SEM-Based,Physical_Score,0.016477895750119043
10,SEM-Based,Environmental_Score,1.4044149656549503
10,SEM-Based,Academic_Score,1.9230548135104806
10,SEM-Based,Social_Score,2.153879052801616
10,Heuristic,General_Adversity,2.058715667240622
10,Heuristic,mental_health_history,0.09595294308650248
10,Heuristic,Psychological_Score,2.0584603070596703
10,Heuristic,Physical_Score,0.21660109722875043
10,Heuristic,Environmental_Score,0.48488204720313044
10,Heuristic,Academic_Score,0.597809633147742
10,Heuristic,Social_Score,1.115287006942892
