social_support,peer_pressure,extracurricular_activities,bullying,Social_relations_score
0.1128388899415964,0.1863339596856902,0.1642489523686563,2,-0.1751195710252402
-0.8419517172565273,0.8882769585016462,1.575763386786796,5,1.5903991851249897
0.1128388899415964,0.1863339596856902,-0.5415082648404135,2,-0.3622302488188716
-0.8419517172565273,0.8882769585016462,0.8700061695777261,5,1.403288507331358
-0.8419517172565273,1.590219957317602,-1.953022699258553,5,0.8403804499370086
-0.8419517172565273,0.8882769585016462,0.8700061695777261,5,1.403288507331358
1.0676294971397202,-0.5156090391302657,-0.5415082648404135,1,-0.7987953070636212
-0.8419517172565273,0.8882769585016462,0.8700061695777261,5,1.403288507331358
1.0676294971397202,0.1863339596856902,-0.5415082648404135,2,-0.1358944821243367
-0.8419517172565273,1.590219957317602,0.1642489523686563,4,0.924346312158794
-0.8419517172565273,0.8882769585016462,0.8700061695777261,5,1.403288507331358
-0.8419517172565273,1.590219957317602,1.575763386786796,4,1.298567667746057
1.0676294971397202,-1.2175520379462217,-1.2472654820494833,1,-1.1714406386374285
-1.796742324454651,-1.2175520379462217,-1.953022699258553,1,-2.037558616514665
1.0676294971397202,-1.2175520379462217,-0.5415082648404135,1,-0.9843299608437972
0.1128388899415964,0.1863339596856902,-0.5415082648404135,2,-0.3622302488188716
1.0676294971397202,-0.5156090391302657,-0.5415082648404135,1,-0.7987953070636212
1.0676294971397202,-1.2175520379462217,-1.2472654820494833,1,-1.1714406386374285
1.0676294971397202,0.1863339596856902,-0.5415082648404135,3,0.3414716890347721
-0.8419517172565273,0.8882769585016462,0.8700061695777261,5,1.403288507331358
1.0676294971397202,-1.2175520379462217,-0.5415082648404135,1,-0.9843299608437972
-0.8419517172565273,0.8882769585016462,0.8700061695777261,5,1.403288507331358
1.0676294971397202,-1.2175520379462217,-0.5415082648404135,1,-0.9843299608437972
-0.8419517172565273,1.590219957317602,0.8700061695777261,4,1.1114569899524254
1.0676294971397202,0.1863339596856902,0.1642489523686563,2,0.051216195669294744
1.0676294971397202,-0.5156090391302657,-1.2472654820494833,1,-0.9859059848572526
-0.8419517172565273,1.590219957317602,1.575763386786796,4,1.298567667746057
-0.8419517172565273,-1.2175520379462217,-0.5415082648404135,2,-0.9596353230737585
1.0676294971397202,-0.5156090391302657,-0.5415082648404135,3,0.15593703525459607
-0.8419517172565273,0.8882769585016462,1.575763386786796,4,1.1130330139658808
1.0676294971397202,-0.5156090391302657,-0.5415082648404135,1,-0.7987953070636212
-0.8419517172565273,-1.9194950367621777,-0.5415082648404135,1,-1.6225361480130431
-0.8419517172565273,0.8882769585016462,0.8700061695777261,4,0.9259223361722495
0.1128388899415964,0.1863339596856902,-0.5415082648404135,3,0.1151359223402369
1.0676294971397202,-1.2175520379462217,-1.2472654820494833,1,-1.1714406386374285
0.1128388899415964,0.1863339596856902,-0.5415082648404135,2,-0.3622302488188716
0.1128388899415964,-0.5156090391302657,-0.5415082648404135,3,-0.07039873143993888
1.0676294971397202,-1.2175520379462217,-1.2472654820494833,1,-1.1714406386374285
-0.8419517172565273,1.590219957317602,0.8700061695777261,4,1.1114569899524254
1.0676294971397202,-1.2175520379462217,-1.2472654820494833,1,-1.1714406386374285
1.0676294971397202,-0.5156090391302657,-0.5415082648404135,1,-0.7987953070636212
